Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
$1005,Asus Zenbook UX430UA,i7-8550U,Intel UHD Graphics 620,16GB,-,512GB,"14"" 1920x1080 IPS",Medium/Med-High,7,-,"mainstream,programming",$1005 'Medium/Med-High',"mainstream,programming",Asus,Top
$1007,Lenovo ThinkPad T470p*,i5-7300HQ,Intel Graphics 630,8GB,500GB 7200RPM,-,"14"" 1920x1080 IPS",Medium/Med-High,9,-,programming,$1007 'Medium/Med-High',programming,Lenovo,Top
$1046,Dell Latitude 15 E5580*,i5-7200U,Intel Graphics 620,8GB,500GB 7200RPM,-,"15.6"" 1920x1080 IPS",Medium/Med-High,10,-,programming,$1046 'Medium/Med-High',programming,Dell,Top
$1049,Dell XPS 13 9370 Dev. Edition,i5-8250U,Intel UHD Graphics 620,8GB,-,128GB PCIe,"13.3"" 1920x1080 IPS",Medium/Med-High,9,-,programming,$1049 'Medium/Med-High',programming,Dell,Top
$1055,Lenovo ThinkPad T470s*,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",Medium/Med-High,9,-,programming,$1055 'Medium/Med-High',programming,Lenovo,Top
$1071,Lenovo ThinkPad Yoga 460*,i5-6200U,Intel Graphics 520,8GB,-,128GB,"14"" 1920x1080 IPS Touch w/ Pen",Medium/Med-High,8,-,convertible,$1071 'Medium/Med-High',convertible,Lenovo,Top
$1080,MSI GF63 THIN 9SC-614,Core i5-9300H,NVIDIA GTX 1650 4GB,8GB,-,512GB,"15.6"" 1920x1080 60Hz IPS",Medium/Med-High,7,-,gaming,$1080 'Medium/Med-High',gaming,MSI,Top
$1099,HP Spectre 13,i7-7500U,Intel Graphics 620,8GB,-,256GB PCIe,"13.3"" 1920x1080 IPS",Medium/Med-High,9,-,ultraportable,$1099 'Medium/Med-High',ultraportable,HP,Top
$1099,Lenovo Legion Y545 1650,Core i7-9750H,NVIDIA GTX 1650 4GB,16GB,1TB,256GB,"15.6"" 1920x1080 60Hz IPS",Medium/Med-High,8,-,gaming,$1099 'Medium/Med-High',gaming,Lenovo,Top
$1119,Dell XPS 15 9560 (i5 refurb),i5-7300HQ,Nvidia GTX 1050,8GB,-,256GB PCIe,"15.6"" 3840x2160 IPS Touch",Medium/Med-High,10,-,"mainstream,programming",$1119 'Medium/Med-High',"mainstream,programming",Dell,Top
$1149,Dell G5 15,Core i7-10750H,NVIDIA GTX 1650Ti 4GB,16GB,-,512GB,"15.6"" 1920x1080 60hz",Medium/Med-High,7,-,gaming,$1149 'Medium/Med-High',gaming,Dell,Top
$1149,Dell XPS 13 9370,i5-8250U,Intel UHD Graphics 620,8GB,-,128GB PCIe,"13.3"" 1920x1080 IPS",Medium/Med-High,9,-,"mainstream,programming",$1149 'Medium/Med-High',"mainstream,programming",Dell,Top
